 id,city,address, תעשייה , ייצור חשמל , תחבורה ," סה""כ ", עלות - תעשייה , עלות ייצור חשמל , עלות - תחבורה ," סה""כ ",lng,lat, מקדם תעשייה , מקדם חשמל , מקדם תחבורה 
  346 , בני ברק ,,  3 ,  -   ,  183 ,  186 ,"  93,962 ",  -   ,"  15,674,085 ","  15,768,048 ",,,"  35,934 ","  22,818 ","  85,477 "
  5 , הוד השרון ,,  1 ,  -   ,  175 ,  177 ,"  40,922 ",  -   ,"  14,997,681 ","  15,038,603 ",,,"  35,934 ","  22,818 ","  85,477 "
  395 , גן רוה ,,  -   ,  -   ,  170 ,  170 ,  -   ,  -   ,"  14,555,411 ","  14,555,411 ",,,"  35,934 ","  22,818 ","  85,477 "
  31 , גולן ,,  -   ,  -   ,  170 ,  170 ,  -   ,  -   ,"  14,491,193 ","  14,491,193 ",,,"  35,934 ","  22,818 ","  85,477 "
  207 , חוף אשקלון ,,  -   ,  -   ,  169 ,  169 ,  -   ,  -   ,"  14,428,401 ","  14,428,401 ",,,"  35,934 ","  22,818 ","  85,477 "
  129 , מגדל העמק ,,  148 ,  -   ,  17 ,  165 ,"  5,319,313 ",  -   ,"  1,463,425 ","  6,782,738 ",,,"  35,934 ","  22,818 ","  85,477 "
  345 , בת ים ,,  26 ,  -   ,  139 ,  165 ,"  936,406 ",  -   ,"  11,887,020 ","  12,823,426 ",,,"  35,934 ","  22,818 ","  85,477 "
  187 , שפרעם ,,  39 ,  -   ,  124 ,  163 ,"  1,416,420 ",  -   ,"  10,579,373 ","  11,995,793 ",,,"  35,934 ","  22,818 ","  85,477 "
  148 , משגב ,,  -   ,  -   ,  158 ,  158 ,  -   ,  -   ,"  13,534,587 ","  13,534,587 ",,,"  35,934 ","  22,818 ","  85,477 "
  170 , עפולה ,,  35 ,  -   ,  122 ,  157 ,"  1,268,681 ",  -   ,"  10,444,025 ","  11,712,706 ",,,"  35,934 ","  22,818 ","  85,477 "
  378 , כפר סבא ,,  32 ,  -   ,  119 ,  151 ,"  1,167,670 ",  -   ,"  10,167,521 ","  11,335,191 ",,,"  35,934 ","  22,818 ","  85,477 "
  213 , לכיש ,,  -   ,  -   ,  149 ,  149 ,  -   ,  -   ,"  12,728,580 ","  12,728,580 ",,,"  35,934 ","  22,818 ","  85,477 "
  294 , זכרון יעקב ,,  -   ,  -   ,  149 ,  149 ,  -   ,  -   ,"  12,714,403 ","  12,714,403 ",,,"  35,934 ","  22,818 ","  85,477 "
  384 , יבנה ,,  40 ,  -   ,  100 ,  140 ,"  1,444,321 ",  -   ,"  8,564,366 ","  10,008,687 ",,,"  35,934 ","  22,818 ","  85,477 "
  35 , רעננה ,,  7 ,  -   ,  119 ,  128 ,"  256,547 ",  -   ,"  10,206,455 ","  10,463,002 ",,,"  35,934 ","  22,818 ","  85,477 "
  48 , כרמיאל ,,  20 ,  -   ,  104 ,  125 ,"  733,314 ",  -   ,"  8,920,310 ","  9,653,624 ",,,"  35,934 ","  22,818 ","  85,477 "
  21 , מרחבים ,,  66 ,  -   ,  57 ,  123 ,"  2,368,338 ",  -   ,"  4,863,951 ","  7,232,289 ",,,"  35,934 ","  22,818 ","  85,477 "
  20 , רמת נגב ,,  -   ,  -   ,  118 ,  118 ,  -   ,  -   ,"  10,053,946 ","  10,053,946 ",,,"  35,934 ","  22,818 ","  85,477 "
  7 , לב השרון ,,  -   ,  -   ,  114 ,  114 ,  -   ,  -   ,"  9,722,017 ","  9,722,017 ",,,"  35,934 ","  22,818 ","  85,477 "
  268 , נשר ,,  -   ,  -   ,  109 ,  109 ,  -   ,  -   ,"  9,354,190 ","  9,354,190 ",,,"  35,934 ","  22,818 ","  85,477 "
  375 , מודיעין-מכבים-רעות ,,  -   ,  -   ,  104 ,  104 ,  -   ,  -   ,"  8,874,497 ","  8,874,497 ",,,"  35,934 ","  22,818 ","  85,477 "
  410 , פרדס חנה - כרכור ,,  34 ,  -   ,  68 ,  102 ,"  1,228,279 ",  -   ,"  5,816,810 ","  7,045,088 ",,,"  35,934 ","  22,818 ","  85,477 "
  167 , עמק הירדן ,,  8 ,  -   ,  92 ,  100 ,"  299,043 ",  -   ,"  7,878,071 ","  8,177,114 ",,,"  35,934 ","  22,818 ","  85,477 "
  376 , לוד ,,  22 ,  -   ,  78 ,  99 ,"  779,536 ",  -   ,"  6,639,507 ","  7,419,043 ",,,"  35,934 ","  22,818 ","  85,477 "
  372 , נס ציונה ,,  1 ,  -   ,  95 ,  95 ,"  28,330 ",  -   ,"  8,093,344 ","  8,121,675 ",,,"  35,934 ","  22,818 ","  85,477 "
  203 , דימונה ,,  51 ,  -   ,  44 ,  95 ,"  1,836,443 ",  -   ,"  3,738,782 ","  5,575,225 ",,,"  35,934 ","  22,818 ","  85,477 "
  54 , עכו ,,  26 ,  -   ,  67 ,  93 ,"  926,956 ",  -   ,"  5,725,494 ","  6,652,450 ",,,"  35,934 ","  22,818 ","  85,477 "
  18 , שער הנגב ,,  -   ,  -   ,  92 ,  92 ,  -   ,  -   ,"  7,867,136 ","  7,867,136 ",,,"  35,934 ","  22,818 ","  85,477 "
  304 , אום אל-פחם ,,  -   ,  -   ,  91 ,  91 ,  -   ,  -   ,"  7,808,128 ","  7,808,128 ",,,"  35,934 ","  22,818 ","  85,477 "
  221 , רמת חובב ,,  90 ,  -   ,  0 ,  90 ,"  3,231,721 ",  -   ,"  18,157 ","  3,249,878 ",,,"  35,934 ","  22,818 ","  85,477 "
  275 , קרית מוצקין ,,  -   ,  -   ,  89 ,  89 ,  -   ,  -   ,"  7,639,500 ","  7,639,500 ",,,"  35,934 ","  22,818 ","  85,477 "
  100 , יקנעם עילית ,,  14 ,  -   ,  73 ,  87 ,"  490,852 ",  -   ,"  6,267,096 ","  6,757,948 ",,,"  35,934 ","  22,818 ","  85,477 "
  386 , טייבה ,,  -   ,  -   ,  85 ,  85 ,  -   ,  -   ,"  7,268,107 ","  7,268,107 ",,,"  35,934 ","  22,818 ","  85,477 "
  28 , נצרת ,,  -   ,  -   ,  84 ,  84 ,  -   ,  -   ,"  7,160,979 ","  7,160,979 ",,,"  35,934 ","  22,818 ","  85,477 "
  124 , מבואות החרמון ,,  -   ,  -   ,  81 ,  81 ,  -   ,  -   ,"  6,937,975 ","  6,937,975 ",,,"  35,934 ","  22,818 ","  85,477 "
  197 , אשכול ,,  -   ,  -   ,  79 ,  79 ,  -   ,  -   ,"  6,727,953 ","  6,727,953 ",,,"  35,934 ","  22,818 ","  85,477 "
  2 , ערד ,,  54 ,  -   ,  22 ,  75 ,"  1,928,039 ",  -   ,"  1,858,987 ","  3,787,026 ",,,"  35,934 ","  22,818 ","  85,477 "
  362 , ראש העין ,,  -   ,  -   ,  74 ,  74 ,  -   ,  -   ,"  6,293,095 ","  6,293,095 ",,,"  35,934 ","  22,818 ","  85,477 "
